"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"Age (days)",306252.348,306252.348,1,19,4.694,0.043
"Status",8304.796,8304.796,1,19,0.127,0.725
"Age (days):Status",12615.246,12615.246,1,19,0.193,0.665
