age_days	hep_ser_ser
216	1075.626
180	740.451
180	463.376
180	258.416
227	608.508
185	516.165
220	
193	660.911
154	136.693
183	459.984
148	
132	442.338
234	860.031
213	625.548
211	642.148
227	920.036
216	365.177
213	476.431
232	715.056
234	144.653
205	425.782
233	1279.789
205	611.793
197	704.55
156	431.059
